genome_name	jTAD80	Trimmed_Mean80
MaxBin.001	237.6306129	237.69215
MaxBin.012	102.6480596	102.73
MaxBin.035_sub	6.394396129	6.6497817
MaxBin.047	22.70832466	22.750353
MaxBin.051	12.87198109	13.105129
MetaBAT.009	9.244269553	9.455999
MetaBAT.015	20.03221762	20.185205
MetaBAT.016	25.42493589	25.41395
MetaBAT.017	11.62968809	11.843799
MetaBAT.019	12.98588635	13.086388
MetaBAT.024	24.59416783	24.556606
MetaBAT.026	23.39601346	23.39584
MetaBAT.027	11.30858459	11.446535
MetaBAT.029	11.71779875	11.882411
MetaBAT.030	9.325849312	9.539687
